,activation,Config,Train Error,Test Error
0,Tanh(),"DEPTH 3, WIDTH 5",83.60091400146484,84.4000015258789
1,Tanh(),"DEPTH 3, WIDTH 10",98.39449310302734,98.5999984741211
2,Tanh(),"DEPTH 3, WIDTH 25",98.5091781616211,98.5999984741211
3,Tanh(),"DEPTH 3, WIDTH 50",100.0,100.0
4,Tanh(),"DEPTH 3, WIDTH 100",100.0,100.0
5,Tanh(),"DEPTH 5, WIDTH 5",97.47706604003906,95.80000305175781
6,Tanh(),"DEPTH 5, WIDTH 10",98.62385559082031,98.5999984741211
7,Tanh(),"DEPTH 5, WIDTH 25",100.0,99.80000305175781
8,Tanh(),"DEPTH 5, WIDTH 50",100.0,99.80000305175781
9,Tanh(),"DEPTH 5, WIDTH 100",99.31192016601562,99.19999694824219
10,Tanh(),"DEPTH 9, WIDTH 5",98.9678955078125,98.5999984741211
11,Tanh(),"DEPTH 9, WIDTH 10",97.01834869384766,97.5999984741211
12,Tanh(),"DEPTH 9, WIDTH 25",99.88532257080078,100.0
13,Tanh(),"DEPTH 9, WIDTH 50",99.77064514160156,100.0
14,Tanh(),"DEPTH 9, WIDTH 100",98.27981567382812,97.0
15,ReLU(),"DEPTH 3, WIDTH 5",77.98165130615234,77.60000610351562
16,ReLU(),"DEPTH 3, WIDTH 10",98.5091781616211,98.0
17,ReLU(),"DEPTH 3, WIDTH 25",100.0,99.80000305175781
18,ReLU(),"DEPTH 3, WIDTH 50",100.0,100.0
19,ReLU(),"DEPTH 3, WIDTH 100",100.0,100.0
20,ReLU(),"DEPTH 5, WIDTH 5",99.31192016601562,99.0
21,ReLU(),"DEPTH 5, WIDTH 10",99.42660522460938,99.4000015258789
22,ReLU(),"DEPTH 5, WIDTH 25",100.0,100.0
23,ReLU(),"DEPTH 5, WIDTH 50",99.88532257080078,99.80000305175781
24,ReLU(),"DEPTH 5, WIDTH 100",100.0,100.0
25,ReLU(),"DEPTH 9, WIDTH 5",97.47706604003906,97.0
26,ReLU(),"DEPTH 9, WIDTH 10",97.36238861083984,97.0
27,ReLU(),"DEPTH 9, WIDTH 25",99.65596008300781,99.4000015258789
28,ReLU(),"DEPTH 9, WIDTH 50",100.0,100.0
29,ReLU(),"DEPTH 9, WIDTH 100",99.65596008300781,99.4000015258789
